canonical_paper_id,all_source_paper_ids,title,translated_title,language,year,authors,journal_or_source,doi,url,topic_group,method_group,relevance_level,metadata_status,source_manifests,duplicate_group_id,deduplication_confidence,needs_manual_confirmation,notes
KRD0012,KRD0012,一种基于多光谱遥感影像的喀斯特地区裸岩率的计算方法初探,,Chinese,2010,,遥感/工程应用中文期刊（万方）,,https://d.wanfangdata.com.cn/periodical/Ch9QZXJpb2RpY2FsQ0hJTmV3UzIwMjUwMTE2MTYzNjE0EhB5Z2pzeXl5MjAxMDA0MDEwGghuYWZucnhqNQ%3D%3D,bare_rock_fraction_fbr,unknown,high,manifest_only,literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0013,KRD0013,石漠化遥感评价因子提取研究 / Remote sensing of indicators for evaluating karst rocky desertification,,Chinese,2011,,生态学相关期刊/中国生态系统研究网络存档,,https://cern.ac.cn/ftp/%E7%9F%B3%E6%BC%A0%E5%8C%96%E9%81%A5%E6%84%9F%E8%AF%84%E4%BB%B7%E5%9B%A0%E5%AD%90%E6%8F%90%E5%8F%96%E7%A0%94%E7%A9%B6-%E5%B2%B3%E8%B7%83%E6%B0%91.pdf,rocky_desertification_classification,unknown,very_high,partial,literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,manifest_status: verified by web | filename_title_candidate: CN009 Remote sensing of indicators for evaluating karst rocky dese | pdf_matched_by_filename_similarity=0.808 | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0014,KRD0014,"Use of NDVI, KRDSI and LCA for rocky desertification extraction (Xiong et al. 2013)",,English/Chinese,2013,,,,,rocky_desertification_classification,vegetation_index,To verify,needs_manual_check,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,,1.00,no,Cited in Frontiers 2022 PDF as early index-based KRD extraction | verify_in: CNKI/WoS/Google Scholar | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0015,KRD0015,Assessing land degradation and desertification using vegetation index data: current frameworks and future directions,,English,2014,,,,,review,vegetation_index; review,background/review,manifest_only,literature_manifest_all.csv,,1.00,no,manifest_status: contextual | mentioned_in_notes: literature_database_overview.md
KRD0016,KRD0016; KRD0112,Is Forest Restoration in the Southwest China Karst Promoted Mainly by Climate Change or Human-Induced Factors?,,,2014,,background,10.3390/rs6109895,https://www.mdpi.com/2072-4292/6/10/9895,rocky_desertification_classification,unknown,,manifest_only; pdf_only,articles_manifest.csv,DUP0001,0.90,yes,Background on Southwest China karst restoration and rock/rocky desertification.; filename_title_candidate: 2014 RemoteSens 6 9895 Is Forest Restoration in the Southwest China Karst Promoted
KRD0017,KRD0017,Decision tree and fuzzy maximum likelihood classification for KRD (Li and Wu 2015),,English/Chinese,2015,,,,,machine_learning,unknown,To verify,needs_manual_check,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,,1.00,no,Cited by Scientific Reports 2022 as KRD classification baseline | verify_in: CNKI/WoS/Google Scholar | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0018,KRD0018,Discussion on classification and grading of karst rocky desertification in Guizhou (Zhang and Wang 2015),,English/Chinese,2015,,,,,machine_learning,unknown,To verify,needs_manual_check,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,,1.00,no,Relevant grading standard; appears in user manuscript references | verify_in: CNKI/Wanfang | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0019,KRD0019,Fully Convolutional Networks for Semantic Segmentation,,English,2015,,,,,deep_learning_segmentation,unknown,To verify,needs_manual_check,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,,1.00,no,Baseline model reference for FCN comparison; not KRD-specific | verify_in: CVPR | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0020,KRD0020,Monitoring the recent trend of aeolian desertification using Landsat TM and Landsat 8 imagery on the northeast Qinghai-Tibet Plateau,,English,2015,,,,,machine_learning,unknown,broader desertification classification and monitoring,manifest_only,literature_manifest_all.csv,,1.00,no,manifest_status: contextual | mentioned_in_notes: literature_database_overview.md
KRD0021,KRD0021,U-Net: Convolutional Networks for Biomedical Image Segmentation,,English,2015,,,,,deep_learning_segmentation,U-Net,To verify,needs_manual_check,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,,1.00,no,U-Net baseline method reference; not KRD-specific | verify_in: MICCAI/Google Scholar | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0022,KRD0022,Linear spatial-spectral mixture model,,English,2016,,,,,lsmm_mesma_sma,unknown,To verify,needs_manual_check,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,,1.00,no,Method reference for LSMM; not KRD-specific | verify_in: IEEE TGRS | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0023,KRD0023; KRD0113,Quantitative Estimation of Carbonate Rock Fraction in Karst Regions Based on Spectral Feature Analysis,,,2016,,closely_related,10.3390/rs8010068,https://www.mdpi.com/2072-4292/8/1/68,bare_rock_fraction_fbr,unknown,,manifest_only; pdf_only,articles_manifest.csv,DUP0002,0.90,yes,Closely related to carbonate rock fraction/bedrock exposure. Official PDF link included. | mentioned_in_notes: literature_database_overview.md; filename_title_candidate: 2016 RemoteSens 8 68 Quantitative Estimation of Carbonate Rock Fraction in Karst
KRD0024,KRD0024,Kernel fully constrained least squares for hyperspectral image classification/unmixing (Liu et al. 2017),,English/Chinese,2017,,,,,machine_learning,unknown,To verify,needs_manual_check,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,,1.00,no,Method reference for FCLS/LSMM; not KRD-specific | verify_in: IEEE/Google Scholar | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0025,KRD0025,Analysis of Landsat-8 OLI Imagery for Estimating Exposed Bedrock Fractions in Typical Karst Regions of Southwest China,,English,2018,,closely_related,10.3390/rs10091321,https://www.mdpi.com/2072-4292/10/9/1321,bare_rock_fraction_fbr,unknown,very_high,manifest_only,articles_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,Closely related to EBF/FBR and rocky desertification mapping. Official PDF link included. | manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0026,KRD0026,Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation / DeepLabV3+,,English,2018,,,,,deep_learning_segmentation,DeepLabV3+,To verify,needs_manual_check,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,,1.00,no,Core DeepLabV3+ method reference; not KRD-specific | verify_in: ECCV/Google Scholar | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0027,KRD0027,面向对象的喀斯特地区石漠化遥感信息提取研究——以贵州省……为例,,Chinese,2018,,地质力学学报,10.12090/j.issn.1006-6616.2018.24.02.028,https://www.cgsjournals.com/dzlxxb/article/doi/10.12090/j.issn.1006-6616.2018.24.02.028,deep_learning_segmentation,DEM_ablation,high,complete,literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,manifest_status: verified by web | filename_title_candidate: 面向对象的喀斯特地区石漠化遥感信息提取研究——以贵州省大方地区为例 周迪 | pdf_matched_by_filename_similarity=0.875 | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0028,KRD0028,Comparing Remote Sensing Methods for Monitoring Karst Rocky Desertification at Sub-Pixel Scales in a Highly Heterogeneous Karst Region,,English,2019,,Scientific Reports,10.1038/s41598-019-49730-9,https://www.nature.com/articles/s41598-019-49730-9,lsmm_mesma_sma,MESMA; SMA,very_high,manifest_only,literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0029,KRD0029,Spectral variability in hyperspectral unmixing: recent advances and future trends,,English,2019,,,,,other,unknown,To verify,needs_manual_check,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,,1.00,no,Useful for LSMM discussion; not KRD-specific | verify_in: IEEE Signal Processing Magazine | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0030,KRD0030,The Spatial Distribution Pattern of Rock in Rocky Desertification Area based on Unmanned Aerial Vehicle Imagery and Object-oriented Classification Method,,English/Chinese,2020,,地球信息科学学报 / Journal of Geo-information Science,10.12082/dqxxkx.2020.190744,https://www.dqxxkx.cn/EN/10.12082/dqxxkx.2020.190744,machine_learning,unknown,high,manifest_only,literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md
KRD0031,KRD0031,云南省建水县石漠化修复模式评价,,Chinese,2020,,北京大学学报(自然科学版),,https://xbna.pku.edu.cn/fileup/0479-8023/HTML/2020-6-1073.html,rocky_desertification_classification,vegetation_index,medium,partial,literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,manifest_status: verified by web | filename_title_candidate: 云南省建水县石漠化修复模式评价 肖林颖.caj | pdf_matched_by_filename_similarity=0.789
KRD0032,KRD0032,石漠化地区遥感影像信息提取方法综述,,Chinese,2020,,安全与环境工程,10.13578/j.cnki.issn.1671-1556.2020.03.019,https://ktaq.cbpt.cnki.net/portal/journal/portal/client/paper/054e8053b7fbb3c3cf0d35a5013c1b52,review,review,high,complete,literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,manifest_status: verified by web | filename_title_candidate: 石漠化地区遥感影像信息提取方法综述 杨董琳 | pdf_matched_by_filename_similarity=0.895
KRD0033,KRD0033,Extracting Information on Rocky Desertification from Satellite Images: A Comparative Study,,English,2021,Pu J.; Zhao X.; Dong P.; Wang Q.; Yue Q.,core,10.3390/rs13132497,https://www.mdpi.com/2072-4292/13/13/2497,rocky_desertification_classification,unknown,Very close to your paper: multi-source satellite comparison plus ML classification of rocky desertification levels.,complete,articles_manifest.csv; literature_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,PDF successfully downloaded via UNT mirror; official MDPI link included. | manifest_status: verified by web | filename_title_candidate: EN001 Extracting Information on Rocky Desertification from Satelli | pdf_matched_by_filename_similarity=0.774 | filename_title_candidate: EN01 Extracting Information on Rocky Desertification from Satellite Images A Comparative Study | filename_title_candidate: 2021 RemoteSens 13 2497 Pu Extracting Information Rocky Desertification | mentioned_in_notes: annotated_bibliography.md; annotated_bibliography__metadata_1.md
KRD0034,KRD0034,How Can We Realize Sustainable Development Goals in Rocky Desertified Regions by Enhancing Crop Yield with Reduction of Environmental Risks?,,,2021,Liang B.; Quine T.A.; Liu H.; Cressey E.L.; Bateman I.,background,10.3390/rs13091614,https://www.mdpi.com/2072-4292/13/9/1614,other,unknown,,manifest_only,articles_manifest.csv,,1.00,no,Background on rocky desertified regions; not a mapping-method paper.
KRD0035,KRD0035,Optimization of Rocky Desertification Classification Model Based on Vegetation Type and Seasonal Characteristic,,English,2021,Qian C.; Qiang H.; Wang F.; Li M.,core,10.3390/rs13152935,https://www.mdpi.com/2072-4292/13/15/2935,machine_learning,unknown,Useful for introducing seasonal/vegetation context and machine-learning model comparison in KRD classification.,complete,articles_manifest.csv; literature_manifest.csv,,1.00,no,Official PDF link included; direct automated download blocked/limited during this session. | filename_title_candidate: EN02 Optimization of Rocky Desertification Classification Model Based on Vegetation Type and Se | pdf_matched_by_filename_similarity=0.874 | filename_title_candidate: 2021 RemoteSens 13 2935 Optimization of Rocky Desertification Classification Model B | mentioned_in_notes: annotated_bibliography__metadata_1.md; literature_database_overview.md
KRD0036,KRD0036,Spectral analysis of seasonal rock and vegetation changes for detecting karst rocky desertification in southwest China,,English,2021,,International Journal of Applied Earth Observation and Geoinformation,,https://www.sciencedirect.com/science/article/pii/S0303243421000441,rocky_desertification_classification,feature_space,very_high,manifest_only,literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0037,KRD0037,基于多时相Sentinel-2遥感数据的石漠化程度识别方法研究,,Chinese,2021,Baidu Scholar listing,中文学位/期刊检索结果,,https://xueshu.baidu.com/usercenter/paper/show?paperid=1r0k0mq0g91m0xd02v7r02u0r8464867&site=xueshu_se,gee_time_series,time_series,Relevant Chinese multi-temporal Sentinel-2 degree recognition reference; metadata should be verified before citation.,partial,literature_manifest.csv,,1.00,no,filename_title_candidate: 基于多时相Sentinel 2遥感数据的石漠化程度识别方法研究 徐瑞 | pdf_matched_by_filename_similarity=0.954 | mentioned_in_notes: annotated_bibliography__metadata_1.md; literature_database_overview.md
KRD0038,KRD0038,石漠化遥感信息提取方法进展,,Chinese,2021,种国双、海月、郑华、徐卫华、欧阳志云,应用生态学报（万方/百度学术检索结果）,10.3969/j.issn.0255-8297.2021.06.007,https://d.wanfangdata.com.cn/periodical/ChlQZXJpb2RpY2FsQ0hJTmV3UzIwMjIwOTAxEg95eWt4eGIyMDIxMDYwMDcaCHI4MnlrOGFp,review,review,Chinese review; useful for Chinese literature background and method taxonomy.,complete,literature_manifest.csv,,1.00,no,filename_title_candidate: 石漠化遥感信息提取方法进展 | pdf_matched_by_filename_similarity=1.000
KRD0039,KRD0039,遥感植被指数增强石漠化信息研究,,Chinese,2021,Unknown from OPAJ listing,中文期刊（开放检索页）,,https://opaj.napstic.cn/periodicalArticle/0120211000483150,rocky_desertification_classification,vegetation_index,Useful Chinese index-based KRD extraction study; includes classification accuracy and Kappa.,partial,literature_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,manifest_status: verified by web | filename_title_candidate: 遥感植被指数增强石漠化信息研究 叶杰 | pdf_matched_by_filename_similarity=0.909 | filename_title_candidate: 遥感植被指数增强石漠化信息研究 | pdf_matched_by_filename_similarity=1.000
KRD0040,KRD0040,A novel-optimal monitoring index of rocky desertification based on Sentinel-2 MSI data,,English,2022,Taylor & Francis authors,Geocarto International or related Taylor & Francis outlet,10.1080/19475705.2022.2092038,https://www.tandfonline.com/doi/full/10.1080/19475705.2022.2092038,rocky_desertification_classification,vegetation_index,Useful for index/feature-space arguments and red-edge relevance.,manifest_only,literature_manifest.csv,,1.00,no,mentioned_in_notes: annotated_bibliography__metadata_1.md
KRD0041,KRD0041,Extraction of rocky desertification information in karst area by using different multispectral sensor data and multiple endmember spectral mixture analysis method,,English,2022,Frontiers authors,Frontiers in Environmental Science,10.3389/fenvs.2022.996708,https://www.frontiersin.org/journals/environmental-science/articles/10.3389/fenvs.2022.996708/full,lsmm_mesma_sma,MESMA; SMA,high,manifest_only,literature_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md; annotated_bibliography__metadata_1.md; literature_database_overview.md
KRD0042,KRD0042,Information Extraction and Prediction of Rocky Desertification Based on Land Use Changes and FLUS Model,,English,2022,,Sustainability,10.3390/su142013385,https://www.mdpi.com/2071-1050/14/20/13385,machine_learning,unknown,medium,manifest_only,literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md
KRD0043,KRD0043,"Machine learning algorithm for estimating karst rocky desertification in a peak-cluster depression basin in southwest Guangxi, China",,English,2022,Scientific Reports authors,Scientific Reports,10.1038/s41598-022-21684-5,https://www.nature.com/articles/s41598-022-21684-5,machine_learning,RF,"Useful for feature-factor selection, RF comparison, and justifying terrain/vegetation/rock exposure factors.",manifest_only,literature_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography__metadata_1.md
KRD0044,KRD0044,Spatiotemporal Evolution Analysis and Future Scenario Prediction of Rocky Desertification in a Subtropical Karst Region,,English,2022,Unknown / MDPI listing,core,10.3390/rs14020292,https://www.mdpi.com/2072-4292/14/2/292,gee_time_series,time_series,Background for regional KRD evolution and the use of ML-driven RS products.,manifest_only,articles_manifest.csv; literature_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,Official PDF link included; direct automated download blocked/limited during this session. | manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md; annotated_bibliography__metadata_1.md
KRD0045,KRD0045,The Changes of Spatiotemporal Pattern of Rocky Desertification and Its Dominant Driving Factors in Typical Karst Mountainous Areas under the Background of Global Change,,,2022,Guo B.; Yang F.; Fan J.; Lu Y.,core,10.3390/rs14102351,https://www.mdpi.com/2072-4292/14/10/2351,gee_time_series,time_series,,manifest_only,articles_manifest.csv,,1.00,no,Official PDF link included; direct automated download blocked/limited during this session.
KRD0046,KRD0046,Extraction of Rocky Desertification Information in the Karst Area Based on the Red-NIR-SWIR Spectral Feature Space,,English,2023,Cai J.; Yu W.; Fang Q.; Zi R.; Fang F.; Zhao L.,core,10.3390/rs15123056,https://www.mdpi.com/2072-4292/15/12/3056,rocky_desertification_classification,feature_space,very_high,manifest_only,articles_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,Official PDF link included; direct automated download blocked/limited during this session. | manifest_status: verified by web
KRD0047,KRD0047,"Monitoring and Classification of Karst Rocky Desertification with Landsat 8 OLI Images Using Spectral Indices, Multi-Endmember Spectral Mixture Analysis and Support Vector Machine",,English,2023,"Alevkayali, Yayla, Atayeter",International Journal of Engineering and Geosciences,10.26833/ijeg.1149738,https://dergipark.org.tr/en/pub/ijeg/article/1149738,lsmm_mesma_sma,MESMA; SMA; SVM,Direct comparison point for LSMM/MESMA and SVM classification of KRD.,manifest_only,literature_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md; annotated_bibliography__metadata_1.md; literature_database_overview.md
KRD0048,KRD0048,Monitoring the evolution process of karst desertification and distinguishing human and climate impacts,,English,2023,,Environmental Science and Pollution Research,10.1007/s11356-023-30920-y,https://link.springer.com/article/10.1007/s11356-023-30920-y,broader_desertification,unknown,medium,manifest_only,literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md
KRD0049,KRD0049,基于GEE的曲靖石漠化时空演变过程分析,,Chinese,2023,西南林业大学学报 authors,西南林业大学学报（自然科学）,10.11929/j.swfu.202109006,https://xnldxb.ns.swfu.edu.cn/article/doi/10.11929/j.swfu.202109006,gee_time_series,GEE; time_series,low,manifest_only,literature_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,manifest_status: verified by web
KRD0050,KRD0050,基于机器学习算法的喀斯特峰丛洼地石漠化程度评估,,Chinese,2023,,中国水土保持科学,10.16843/j.sswc.2023.05.006,https://html.rhhz.net/sswcc/html/2023/5/2023-5-51.htm,machine_learning,SVM,very_high,manifest_only,literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md
KRD0051,KRD0051,A Rocky Desertification Land Extraction Method Based on Spectral Texture Scattering Terrain Feature Set and Multiscale Segmentation,,English,2024,,IEEE,,https://ieeexplore.ieee.org/document/11023630,deep_learning_segmentation,DEM_ablation,high,partial,literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,manifest_status: verified by web | filename_title_candidate: A Rocky Desertification Land Extraction Method Based on Spectral Texture Scattering Terrain Multisource Features With Time Series | pdf_matched_by_filename_similarity=0.838 | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0052,KRD0052,Classification of Karst Rocky Desertification Levels in Jinsha County Using a Feature Space Method Based on SDGSAT-1 Multispectral Data,,English,2024,MDPI authors,core,10.3390/rs16244786,https://www.mdpi.com/2072-4292/16/24/4786,machine_learning,feature_space,Very useful for feature-space KRD level classification and carbonate rock/vegetation index design.,manifest_only,articles_manifest.csv; literature_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,Official PDF link included; direct automated download blocked/limited during this session. | manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md; annotated_bibliography__metadata_1.md
KRD0053,KRD0053,Desertification and land degradation assessment through remote sensing: review or applied method papers,,English,2024,,,,,review,time_series; review,broader desertification background,manifest_only,literature_manifest_all.csv,,1.00,no,manifest_status: contextual | mentioned_in_notes: literature_database_overview.md
KRD0054,KRD0054,Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel-2 images and KNDVI,,English,2024,Taylor & Francis / DOAJ listing,Geocarto International or related,10.1080/19475705.2024.2399659,https://doaj.org/article/78f3c665c35e4a309cb200d18f8ad001,rocky_desertification_classification,feature_space; vegetation_index,Useful for time-series/index-based KRD monitoring and feature-space comparison.,complete,literature_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,manifest_status: verified by web | filename_title_candidate: Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel 2 images and KNDVI | pdf_matched_by_filename_similarity=1.000 | mentioned_in_notes: annotated_bibliography__metadata_1.md
KRD0055,KRD0055,Identification and factor analysis of rocky desertification severity levels in large-scale karst areas based on deep learning image segmentation,,English,2024,Ecological Indicators authors,Ecological Indicators,10.1016/j.ecolind.2024.112565,https://www.sciencedirect.com/science/article/pii/S1470160X24010227,deep_learning_segmentation,unknown,Important recent deep-learning segmentation reference for rocky desertification severity levels.,manifest_only,literature_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography__metadata_1.md
KRD0056,KRD0056,Improving monitoring Karst rocky desertification using high-frequency Landsat time series,,English,2024,,Catena,,https://www.sciencedirect.com/science/article/pii/S034181622400242X,gee_time_series,time_series,high,manifest_only,literature_manifest_all.csv; literature_manifest_verified_core.csv,,1.00,no,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0057,KRD0057,Spatio-Temporal Evolution Characteristics and Driving Factors of Karst Rocky Desertification in Qujing City Based on GEE,,English,2024,Sustainability authors,Sustainability,10.3390/su16072669,https://www.mdpi.com/2071-1050/16/7/2669,dem_topography,GEE; time_series; DEM_ablation,low,complete,literature_manifest.csv,,1.00,no,filename_title_candidate: EN12 Spatio Temporal Evolution Characteristics and Driving Factors of Karst Rocky Desertificati | pdf_matched_by_filename_similarity=0.837 | mentioned_in_notes: annotated_bibliography__metadata_1.md
